oldMonth,RF_in,Month,RF
January,5.737016622715857,May,2.1654949165038246
February,4.315334225070802,June,0.469433240869985
March,4.843595129443971,July,0.6249674396234358
April,3.882119697641244,August,0.9614226403270122
May,2.1654949165038246,September,1.228395082802563
June,0.469433240869985,October,2.625049358695864
July,0.6249674396234358,November,3.491391109181499
August,0.9614226403270122,December,5.288073409844737
September,1.228395082802563,January,5.737016622715857
October,2.625049358695864,February,4.315334225070802
November,3.491391109181499,March,4.843595129443971
December,5.288073409844737,April,3.882119697641244
