oldMonth,oldNDVI,Month,NDVI
January,0.4329197382043909,November,0.40270473433129583
February,0.45465234827112266,December,0.4380220870029779
March,0.44025561956711756,January,0.4329197382043909
April,0.4056284515946,February,0.45465234827112266
May,0.32046243879530156,March,0.44025561956711756
June,0.3334197486341282,April,0.4056284515946
July,0.3163708807283204,May,0.32046243879530156
August,0.3035085484286432,June,0.3334197486341282
September,0.30190522401307945,July,0.3163708807283204
October,0.35389309617755305,August,0.3035085484286432
November,0.40270473433129583,September,0.30190522401307945
December,0.4380220870029779,October,0.35389309617755305
