oldMonth,oldNDVI,Month,NDVI
January,0.6515915632836612,November,0.6341853370195554
February,0.578121797538098,December,0.6203088171688127
March,0.550972759105541,January,0.6515915632836612
April,0.5682353692629851,February,0.578121797538098
May,0.5356744538005601,March,0.550972759105541
June,0.5593318060705579,April,0.5682353692629851
July,0.5624676212625965,May,0.5356744538005601
August,0.5770538172490917,June,0.5593318060705579
September,0.5809340010567834,July,0.5624676212625965
October,0.6301901129915504,August,0.5770538172490917
November,0.6341853370195554,September,0.5809340010567834
December,0.6203088171688127,October,0.6301901129915504
