oldMonth,RF_in,Month,RF
January,13.916968170997308,May,12.35924945550037
February,13.045156382828981,June,9.847587261738246
March,18.583587156770943,July,13.147037021740495
April,17.434910463463208,August,15.149195165649601
May,12.35924945550037,September,11.707754984727961
June,9.847587261738246,October,13.257160465132708
July,13.147037021740495,November,17.403154229473486
August,15.149195165649601,December,15.790886146767642
September,11.707754984727961,January,13.916968170997308
October,13.257160465132708,February,13.045156382828981
November,17.403154229473486,March,18.583587156770943
December,15.790886146767642,April,17.434910463463208
