,oldMonth,OldTemp,Month,Temp
0,January,67.50034877663734,May,70.24653201925592
1,February,67.17329857694398,June,71.36888317899346
2,March,67.8116762479625,July,72.38534266222678
3,April,68.86286265906348,August,72.98518141255025
4,May,70.24653201925592,September,72.7550982790713
5,June,71.36888317899346,October,72.14267306341534
6,July,72.38534266222678,November,70.54821789768796
7,August,72.98518141255025,December,68.62256790320671
8,September,72.7550982790713,January,67.50034877663734
9,October,72.14267306341534,February,67.17329857694398
10,November,70.54821789768796,March,67.8116762479625
11,December,68.62256790320671,April,68.86286265906348
