oldMonth,RF_in,Month,RF
January,5.695078889087146,May,2.0345180530806593
February,4.787685653009983,June,1.3687026771191335
March,4.760848100540827,July,1.3292060804654893
April,3.6883664315689972,August,1.6841350212237034
May,2.0345180530806593,September,1.6563568809030689
June,1.3687026771191335,October,2.9200130707329333
July,1.3292060804654893,November,3.9431754619680164
August,1.6841350212237034,December,5.753911856400352
September,1.6563568809030689,January,5.695078889087146
October,2.9200130707329333,February,4.787685653009983
November,3.9431754619680164,March,4.760848100540827
December,5.753911856400352,April,3.6883664315689972
