oldMonth,oldNDVI,Month,NDVI
January,0.6003803714705103,November,0.523100633032528
February,0.5755960233711902,December,0.5640387706992067
March,0.539887092496142,January,0.6003803714705103
April,0.5237481406158419,February,0.5755960233711902
May,0.5256226006170057,March,0.539887092496142
June,0.4989093905500537,April,0.5237481406158419
July,0.47785570048651915,May,0.5256226006170057
August,0.4626402759823704,June,0.4989093905500537
September,0.4665330088036692,July,0.47785570048651915
October,0.5008902074265005,August,0.4626402759823704
November,0.523100633032528,September,0.4665330088036692
December,0.5640387706992067,October,0.5008902074265005
