oldMonth,RF_in,Month,RF
January,3.662354505816245,May,0.8775202857182954
February,2.5817094507863576,June,0.3214015660288512
March,2.8865902885501424,July,0.37763452389360297
April,1.596388016856571,August,0.473073063551518
May,0.8775202857182954,September,0.5523184621994897
June,0.3214015660288512,October,1.3357308975293234
July,0.37763452389360297,November,2.077359966018071
August,0.473073063551518,December,3.27619125552548
September,0.5523184621994897,January,3.662354505816245
October,1.3357308975293234,February,2.5817094507863576
November,2.077359966018071,March,2.8865902885501424
December,3.27619125552548,April,1.596388016856571
