Year,Month,tmin_f,datetime
1999.0,9.0,68.90493977864583,1999-09-01
1999.0,10.0,67.80052625868055,1999-10-01
1999.0,11.0,67.22676595052084,1999-11-01
1999.0,12.0,65.82530110677084,1999-12-01
2000.0,1.0,62.9048583984375,2000-01-01
2000.0,2.0,63.381464301215274,2000-02-01
2000.0,3.0,64.72390407986111,2000-03-01
2000.0,4.0,64.8785861545139,2000-04-01
2000.0,5.0,66.36246202256945,2000-05-01
2000.0,6.0,68.37444661458333,2000-06-01
2000.0,7.0,70.08318142361111,2000-07-01
2000.0,8.0,70.17747124565972,2000-08-01
2000.0,9.0,69.31627061631946,2000-09-01
2000.0,10.0,69.88556315104168,2000-10-01
2000.0,11.0,68.25643717447917,2000-11-01
2000.0,12.0,64.95408257378472,2000-12-01
2001.0,1.0,64.38420681423611,2001-01-01
2001.0,2.0,64.36060112847223,2001-02-01
2001.0,3.0,64.43485785590278,2001-03-01
2001.0,4.0,66.04877658420139,2001-04-01
2001.0,5.0,66.39252387152777,2001-05-01
2001.0,6.0,68.38192003038195,2001-06-01
2001.0,7.0,69.759033203125,2001-07-01
2001.0,8.0,70.8813232421875,2001-08-01
2001.0,9.0,70.54483506944445,2001-09-01
2001.0,10.0,69.74647081163195,2001-10-01
2001.0,11.0,68.19318576388889,2001-11-01
2001.0,12.0,67.31717936197917,2001-12-01
2002.0,1.0,64.89533691406251,2002-01-01
2002.0,2.0,63.14242350260417,2002-02-01
2002.0,3.0,64.61209852430555,2002-03-01
2002.0,4.0,66.32579210069446,2002-04-01
2002.0,5.0,68.35552842881944,2002-05-01
2002.0,6.0,69.23282335069445,2002-06-01
2002.0,7.0,69.81621365017361,2002-07-01
2002.0,8.0,71.88080783420139,2002-08-01
2002.0,9.0,70.35086805555557,2002-09-01
2002.0,10.0,69.91488172743055,2002-10-01
2002.0,11.0,67.29603678385416,2002-11-01
2002.0,12.0,65.14348144531249,2002-12-01
2003.0,1.0,63.77817654079861,2003-01-01
2003.0,2.0,63.490779622395834,2003-02-01
2003.0,3.0,65.46601019965277,2003-03-01
2003.0,4.0,66.81497667100695,2003-04-01
2003.0,5.0,67.59192437065973,2003-05-01
2003.0,6.0,69.04618326822916,2003-06-01
2003.0,7.0,71.07928602430556,2003-07-01
2003.0,8.0,71.52582194010418,2003-08-01
2003.0,9.0,70.83063151041667,2003-09-01
2003.0,10.0,70.86573621961806,2003-10-01
2003.0,11.0,68.8006103515625,2003-11-01
2003.0,12.0,66.9845730251736,2003-12-01
2004.0,1.0,65.17817382812501,2004-01-01
2004.0,2.0,66.71480305989584,2004-02-01
2004.0,3.0,65.70032552083333,2004-03-01
2004.0,4.0,66.66516384548612,2004-04-01
2004.0,5.0,68.30320909288196,2004-05-01
2004.0,6.0,69.93433973524306,2004-06-01
2004.0,7.0,70.66857367621527,2004-07-01
2004.0,8.0,72.05569932725695,2004-08-01
2004.0,9.0,71.30294053819443,2004-09-01
2004.0,10.0,70.512744140625,2004-10-01
2004.0,11.0,68.55924750434028,2004-11-01
2004.0,12.0,65.92286512586806,2004-12-01
2005.0,1.0,65.43822428385417,2005-01-01
2005.0,2.0,64.66170518663193,2005-02-01
2005.0,3.0,63.8365966796875,2005-03-01
2005.0,4.0,66.88967827690973,2005-04-01
2005.0,5.0,68.85655381944444,2005-05-01
2005.0,6.0,70.21388888888889,2005-06-01
2005.0,7.0,71.16550835503472,2005-07-01
2005.0,8.0,70.8338623046875,2005-08-01
2005.0,9.0,72.06118977864583,2005-09-01
2005.0,10.0,69.8883056640625,2005-10-01
2005.0,11.0,68.776220703125,2005-11-01
2005.0,12.0,65.49463433159723,2005-12-01
2006.0,1.0,66.43682725694444,2006-01-01
2006.0,2.0,64.15046386718751,2006-02-01
2006.0,3.0,66.58672960069444,2006-03-01
2006.0,4.0,65.87078993055556,2006-04-01
2006.0,5.0,65.72787272135417,2006-05-01
2006.0,6.0,68.51060926649305,2006-06-01
2006.0,7.0,70.11063368055557,2006-07-01
2006.0,8.0,70.65405544704862,2006-08-01
2006.0,9.0,70.46399739583333,2006-09-01
2006.0,10.0,70.27034505208334,2006-10-01
2006.0,11.0,68.72948133680555,2006-11-01
2006.0,12.0,65.96797417534722,2006-12-01
2007.0,1.0,65.71348741319444,2007-01-01
2007.0,2.0,63.996465386284726,2007-02-01
2007.0,3.0,65.78827582465277,2007-03-01
2007.0,4.0,65.34845920138889,2007-04-01
2007.0,5.0,67.57538519965277,2007-05-01
2007.0,6.0,69.22067599826389,2007-06-01
2007.0,7.0,70.52550455729167,2007-07-01
2007.0,8.0,70.80316297743056,2007-08-01
2007.0,9.0,71.08446451822917,2007-09-01
2007.0,10.0,70.10075141059028,2007-10-01
2007.0,11.0,67.93173014322917,2007-11-01
2007.0,12.0,67.56572265625,2007-12-01
2008.0,1.0,64.11601019965278,2008-01-01
2008.0,2.0,64.54990234375,2008-02-01
2008.0,3.0,65.523974609375,2008-03-01
2008.0,4.0,66.32630208333333,2008-04-01
2008.0,5.0,67.20376790364584,2008-05-01
2008.0,6.0,68.5984619140625,2008-06-01
2008.0,7.0,70.10980360243056,2008-07-01
2008.0,8.0,70.09607476128473,2008-08-01
2008.0,9.0,69.57089301215278,2008-09-01
