,oldMonth,tmean_f,Month,Temp
0,January,70.96221238328172,February,70.77749422803338
1,February,70.77749422803338,March,71.35044427565587
2,March,71.35044427565587,April,72.71024735062211
3,April,72.71024735062211,May,74.0132927035108
4,May,74.0132927035108,June,75.70022183641976
5,June,75.70022183641976,July,76.80750837914738
6,July,76.80750837914738,August,77.48534847306617
7,August,77.48534847306617,September,77.42965050214603
8,September,77.42965050214603,October,76.55534464518229
9,October,76.55534464518229,November,74.6006621937693
10,November,74.6006621937693,December,72.45342836733217
11,December,72.45342836733217,January,70.96221238328172
