oldMonth,oldNDVI,Month,NDVI
January,0.44347285565034844,November,0.3359897886676553
February,0.4955918907824858,December,0.4150174830872336
March,0.45103547272858796,January,0.44347285565034844
April,0.378776152249415,February,0.4955918907824858
May,0.32247515304362556,March,0.45103547272858796
June,0.27208273499100294,April,0.378776152249415
July,0.2506989404799705,May,0.32247515304362556
August,0.2364942930136424,June,0.27208273499100294
September,0.2562264997621773,July,0.2506989404799705
October,0.2627891407393322,August,0.2364942930136424
November,0.3359897886676553,September,0.2562264997621773
December,0.4150174830872336,October,0.2627891407393322
