oldMonth,RF_in,Month,RF
January,8.885566374139572,May,6.11805459577134
February,8.904897791573223,June,3.737609843466495
March,12.007404344440223,July,6.065976632292719
April,11.04912614868611,August,6.933983459222453
May,6.11805459577134,September,4.03578620871085
June,3.737609843466495,October,5.537611936531582
July,6.065976632292719,November,9.774918674466958
August,6.933983459222453,December,10.699034891346647
September,4.03578620871085,January,8.885566374139572
October,5.537611936531582,February,8.904897791573223
November,9.774918674466958,March,12.007404344440223
December,10.699034891346647,April,11.04912614868611
