,oldMonth,tmean_f,Month,Temp
0,January,64.99469730961431,February,64.57112291124132
1,February,64.57112291124132,March,65.19738573615933
2,March,65.19738573615933,April,66.18367249288677
3,April,66.18367249288677,May,67.40695838457273
4,May,67.40695838457273,June,68.58591180495274
5,June,68.58591180495274,July,69.83242978696471
6,July,69.83242978696471,August,70.44267698688272
7,August,70.44267698688272,September,70.09549439983603
8,September,70.09549439983603,October,69.47958366488234
9,October,69.47958366488234,November,67.91438048562887
10,November,67.91438048562887,December,66.00460845570507
11,December,66.00460845570507,January,64.99469730961431
