oldMonth,oldNDVI,Month,NDVI
January,0.6836385486744068,November,0.6270060673466435
February,0.6565032902470341,December,0.6910203929006318
March,0.5941918493200231,January,0.6836385486744068
April,0.5760902212782351,February,0.6565032902470341
May,0.6135621030106504,March,0.5941918493200231
June,0.6050056174949364,April,0.5760902212782351
July,0.5856103688789795,May,0.6135621030106504
August,0.6034499944558284,June,0.6050056174949364
September,0.6483561415278334,July,0.5856103688789795
October,0.6123097411587707,August,0.6034499944558284
November,0.6270060673466435,September,0.6483561415278334
December,0.6910203929006318,October,0.6123097411587707
