Year,Month,Temp
1990.0,1.0,69.0374294704861
1990.0,2.0,67.09818250868057
1990.0,3.0,68.95388997395834
1990.0,4.0,71.89599609375
1990.0,5.0,71.24751790364583
1990.0,6.0,72.73733723958333
1990.0,7.0,74.08534613715278
1990.0,8.0,75.73204210069444
1990.0,9.0,75.04620225694444
1990.0,10.0,73.46948513454862
1990.0,11.0,71.36666124131943
1990.0,12.0,68.11172960069445
1991.0,1.0,69.45181206597222
1991.0,2.0,71.46542426215278
1991.0,3.0,66.73506673177084
1991.0,4.0,69.68854166666667
1991.0,5.0,71.22886827256946
1991.0,6.0,71.85906575520833
1991.0,7.0,73.98115776909722
1991.0,8.0,73.66353624131945
1991.0,9.0,75.50785047743057
1991.0,10.0,74.50566948784723
1991.0,11.0,73.91885308159722
1991.0,12.0,70.40726182725695
1992.0,1.0,70.08116048177084
1992.0,2.0,69.63037651909723
1992.0,3.0,70.076904296875
1992.0,4.0,70.52109646267361
1992.0,5.0,73.13117133246527
1992.0,6.0,71.34158528645833
1992.0,7.0,71.67034505208333
1992.0,8.0,71.63355577256945
1992.0,9.0,73.13738878038194
1992.0,10.0,74.26153700086806
1992.0,11.0,71.53872612847222
1992.0,12.0,69.95811360677084
1993.0,1.0,68.08694118923611
1993.0,2.0,66.88190104166668
1993.0,3.0,67.38418240017361
1993.0,4.0,69.65247395833333
1993.0,5.0,69.33783637152777
1993.0,6.0,70.69711642795139
1993.0,7.0,71.56893446180555
1993.0,8.0,72.82626953125
1993.0,9.0,74.03337673611111
1993.0,10.0,73.099951171875
1993.0,11.0,70.60282389322916
1993.0,12.0,68.93186848958334
1994.0,1.0,68.34478624131944
1994.0,2.0,68.97173394097223
1994.0,3.0,67.33479817708334
1994.0,4.0,67.24673665364583
1994.0,5.0,70.17675238715279
1994.0,6.0,69.43389756944444
1994.0,7.0,72.28804253472222
1994.0,8.0,72.4348117404514
1994.0,9.0,73.19197319878472
1994.0,10.0,73.26108669704861
1994.0,11.0,68.61653645833334
1994.0,12.0,68.86192491319446
1995.0,1.0,70.96368815104167
1995.0,2.0,69.81015625
1995.0,3.0,71.47821723090277
1995.0,4.0,70.24935438368055
1995.0,5.0,71.16109212239584
1995.0,6.0,73.21625434027777
1995.0,7.0,74.07678493923612
1995.0,8.0,73.67910698784723
1995.0,9.0,74.93583441840278
1995.0,10.0,73.6331027560764
1995.0,11.0,72.72714029947917
1995.0,12.0,72.67572157118056
1996.0,1.0,69.93217230902778
1996.0,2.0,67.57625868055555
1996.0,3.0,68.56064453125
1996.0,4.0,71.61663140190973
1996.0,5.0,72.70692003038195
1996.0,6.0,72.15615234375
1996.0,7.0,72.11983506944443
1996.0,8.0,73.4658664279514
1996.0,9.0,72.31663682725696
1996.0,10.0,74.18908420138888
1996.0,11.0,71.48673773871528
1996.0,12.0,69.17107747395833
1997.0,1.0,70.53248697916666
1997.0,2.0,68.894140625
1997.0,3.0,68.47058376736112
1997.0,4.0,70.12216254340277
1997.0,5.0,69.98500434027778
1997.0,6.0,69.81727701822916
1997.0,7.0,73.7141574435764
1997.0,8.0,72.90011121961805
1997.0,9.0,72.17769097222222
1997.0,10.0,71.31099989149305
1997.0,11.0,70.52472873263889
1997.0,12.0,66.52866482204861
1998.0,1.0,70.50392252604166
1998.0,2.0,70.48707682291666
1998.0,3.0,68.75115559895833
1998.0,4.0,65.18360460069445
1998.0,5.0,67.51067979600694
1998.0,6.0,69.86447482638889
1998.0,7.0,72.33917100694444
1998.0,8.0,72.7814453125
1998.0,9.0,71.22655707465279
1998.0,10.0,71.18621419270833
1998.0,11.0,69.47079535590278
1998.0,12.0,67.52190755208333
1999.0,1.0,67.54514431423611
1999.0,2.0,66.17459038628472
1999.0,3.0,66.18812662760416
1999.0,4.0,70.66954752604167
1999.0,5.0,71.71742350260416
1999.0,6.0,72.47068142361111
1999.0,7.0,76.00697970920139
1999.0,8.0,76.00395507812499
1999.0,9.0,74.62740071614584
1999.0,10.0,73.29472656249999
1999.0,11.0,71.38550889756945
1999.0,12.0,69.97158203125
2000.0,1.0,68.32353515625
2000.0,2.0,72.206103515625
2000.0,3.0,71.80094401041666
2000.0,4.0,70.64741753472222
2000.0,5.0,73.61413031684029
2000.0,6.0,74.50570746527777
2000.0,7.0,75.378759765625
2000.0,8.0,75.96802300347221
2000.0,9.0,74.91471354166667
2000.0,10.0,75.82488064236111
2000.0,11.0,72.775439453125
2000.0,12.0,72.33123101128473
2001.0,1.0,73.22649468315973
2001.0,2.0,69.69765082465278
2001.0,3.0,70.50366753472223
2001.0,4.0,70.56244845920139
2001.0,5.0,72.50332573784722
2001.0,6.0,74.10419379340277
2001.0,7.0,76.11640082465277
2001.0,8.0,77.36196017795139
2001.0,9.0,76.95601128472222
2001.0,10.0,75.29950086805556
2001.0,11.0,74.49615885416667
2001.0,12.0,70.78506673177083
2002.0,1.0,70.69128689236112
2002.0,2.0,70.00505913628473
2002.0,3.0,71.568505859375
2002.0,4.0,72.78649088541667
2002.0,5.0,73.2090087890625
2002.0,6.0,75.3626708984375
2002.0,7.0,76.2162109375
2002.0,8.0,76.48515082465278
2002.0,9.0,74.24608289930555
2002.0,10.0,75.27966037326388
2002.0,11.0,75.2505099826389
2002.0,12.0,72.78136393229167
2003.0,1.0,72.17171223958334
2003.0,2.0,71.01375325520834
2003.0,3.0,73.08135850694444
2003.0,4.0,71.11509874131944
2003.0,5.0,75.58718532986111
2003.0,6.0,75.03265787760418
2003.0,7.0,76.7220920138889
2003.0,8.0,77.46340603298611
2003.0,9.0,76.78306206597222
