oldMonth,RF_in,Month,RF
January,7.745091442596957,May,4.080757111894913
February,5.190660608329885,June,2.034704371814271
March,7.125821083656009,July,2.8631338414289806
April,6.004177349234391,August,4.436735113887083
May,4.080757111894913,September,4.8863748490778365
June,2.034704371814271,October,6.019118125333945
July,2.8631338414289806,November,6.009348190204822
August,4.436735113887083,December,5.967167668687434
September,4.8863748490778365,January,7.745091442596957
October,6.019118125333945,February,5.190660608329885
November,6.009348190204822,March,7.125821083656009
December,5.967167668687434,April,6.004177349234391
