oldMonth,oldNDVI,Month,NDVI
January,0.7083853394308208,November,0.6406624659785518
February,0.6341595816906588,December,0.7431482611762152
March,0.5626450211324809,January,0.7083853394308208
April,0.5712467476173683,February,0.6341595816906588
May,0.4951479065905043,March,0.5626450211324809
June,0.5289948301324364,April,0.5712467476173683
July,0.6313861627750813,May,0.4951479065905043
August,0.5847331859447338,June,0.5289948301324364
September,0.56608179106898,July,0.6313861627750813
October,0.5803826532246154,August,0.5847331859447338
November,0.6406624659785518,September,0.56608179106898
December,0.7431482611762152,October,0.5803826532246154
