,Month,RF
1263,April,4.671164151356081
1264,May,3.027326424962939
1265,June,2.099624564073588
1266,July,2.1055376229555507
1267,August,2.235808136558885
1268,September,3.28192354048192
1269,October,4.663991111354137
1270,November,4.101987319401916
1271,December,1.7679367295342423
1272,January,9.701168267595024
1273,February,2.845211568606008
1274,March,21.010990433921457
