,Month,tmean_f
421,February,59.75032009548611
422,March,58.98021375868056
423,April,59.826741536458336
424,May,60.31800130208333
425,June,62.84696451822917
426,July,64.17820638020834
427,August,65.00293782552083
428,September,64.44681260850695
429,October,62.708889431423614
430,November,61.46340874565972
431,December,60.53666720920139
432,January,59.20258246527778
