oldMonth,RF_in,Month,RF
January,5.211448047639904,May,1.9537583571793058
February,3.491282896365143,June,1.1577258841581342
March,3.829055199131013,July,1.425741477440756
April,2.7705759233402345,August,1.8126042570572154
May,1.9537583571793058,September,1.9734231896968246
June,1.1577258841581342,October,2.095427791863763
July,1.425741477440756,November,2.6082453115883872
August,1.8126042570572154,December,4.045956911473162
September,1.9734231896968246,January,5.211448047639904
October,2.095427791863763,February,3.491282896365143
November,2.6082453115883872,March,3.829055199131013
December,4.045956911473162,April,2.7705759233402345
