oldMonth,oldNDVI,Month,NDVI
January,0.6959980171109423,November,0.5774431233347198
February,0.5997299712381244,December,0.7015178444944782
March,0.4696139695909288,January,0.6959980171109423
April,0.34705559457922025,February,0.5997299712381244
May,0.3437218616264611,March,0.4696139695909288
June,0.33985358335127286,April,0.34705559457922025
July,0.3885514367113539,May,0.3437218616264611
August,0.35585849667772834,June,0.33985358335127286
September,0.363331092841718,July,0.3885514367113539
October,0.42784602553756146,August,0.35585849667772834
November,0.5774431233347198,September,0.363331092841718
December,0.7015178444944782,October,0.42784602553756146
