oldMonth,oldNDVI,Month,NDVI
January,0.7160761647165558,November,0.726840865523727
February,0.683986594117718,December,0.7106856998396509
March,0.6516320753686222,January,0.7160761647165558
April,0.7007254920227688,February,0.683986594117718
May,0.7084840319887978,March,0.6516320753686222
June,0.7462644676650464,April,0.7007254920227688
July,0.7266302842360276,May,0.7084840319887978
August,0.6932341529433205,June,0.7462644676650464
September,0.6748013401303196,July,0.7266302842360276
October,0.7182638742532033,August,0.6932341529433205
November,0.726840865523727,September,0.6748013401303196
December,0.7106856998396509,October,0.7182638742532033
