oldMonth,RF_in,Month,RF
January,8.593041252718278,May,3.5836036778529934
February,5.105990095764945,June,1.8739703283299076
March,6.205865796132063,July,1.9889319371420688
April,4.854357498755934,August,2.5846171327969456
May,3.5836036778529934,September,3.1523815533069928
June,1.8739703283299076,October,4.253812727600566
July,1.9889319371420688,November,5.723845782387605
August,2.5846171327969456,December,7.250636138003921
September,3.1523815533069928,January,8.593041252718278
October,4.253812727600566,February,5.105990095764945
November,5.723845782387605,March,6.205865796132063
December,7.250636138003921,April,4.854357498755934
