oldMonth,oldNDVI,Month,NDVI
January,0.6836385486744068,September,0.6507610631872106
February,0.6565032902470341,October,0.6104739003122589
March,0.5941918493200231,November,0.6270060673466435
April,0.5760902212782351,December,0.6910203929006318
May,0.6135621030106504,January,0.6836385486744068
June,0.6050056174949364,February,0.6565032902470341
July,0.5856103688789795,March,0.5941918493200231
August,0.6034499944558284,April,0.5760902212782351
September,0.6507610631872106,May,0.6135621030106504
October,0.6104739003122589,June,0.6050056174949364
November,0.6270060673466435,July,0.5856103688789795
December,0.6910203929006318,August,0.6034499944558284
