,oldMonth,OldTemp,Month,Temp
0,January,65.05580416944372,April,66.27033356492011
1,February,64.63226604160435,May,67.72092899796877
2,March,65.17676793757856,June,68.88047071148938
3,April,66.27033356492011,July,69.99057113520537
4,May,67.72092899796877,August,70.53886570894012
5,June,68.88047071148938,September,70.21248234560913
6,July,69.99057113520537,October,69.65418158169841
7,August,70.53886570894012,November,68.05326221033242
8,September,70.21248234560913,December,66.11603814213329
9,October,69.65418158169841,January,65.05580416944372
10,November,68.05326221033242,February,64.63226604160435
11,December,66.11603814213329,March,65.17676793757856
