oldMonth,RF_in,Month,RF
January,4.155093884396145,May,6.684183163610533
February,3.188546886867199,June,7.369200812067923
March,4.979817165109912,July,7.456565336418438
April,5.986240087622333,August,7.193170490591395
May,6.684183163610533,September,7.4658225290658695
June,7.369200812067923,October,5.8226301633118585
July,7.456565336418438,November,3.6251186668448767
August,7.193170490591395,December,3.3609613171639814
September,7.4658225290658695,January,4.155093884396145
October,5.8226301633118585,February,3.188546886867199
November,3.6251186668448767,March,4.979817165109912
December,3.3609613171639814,April,5.986240087622333
