oldMonth,oldNDVI,Month,NDVI
January,0.6640719477335613,November,0.5986106703016493
February,0.5285021474626329,December,0.6582447984483507
March,0.4651794094509548,January,0.6640719477335613
April,0.4023600612950121,February,0.5285021474626329
May,0.42564206755059397,March,0.4651794094509548
June,0.4247483015060425,April,0.4023600612950121
July,0.43133325250739724,May,0.42564206755059397
August,0.5149155681968755,June,0.4247483015060425
September,0.5002652997644538,July,0.43133325250739724
October,0.5629069479102763,August,0.5149155681968755
November,0.5986106703016493,September,0.5002652997644538
December,0.6582447984483507,October,0.5629069479102763
