,Month,tmean_f
421,February,60.23245985243055
422,March,60.27935655381944
423,April,61.41873914930556
424,May,61.74303656684028
425,June,63.58733452690973
426,July,64.95139702690972
427,August,65.54824490017361
428,September,64.61999782986112
429,October,63.80085991753472
430,November,62.54970160590278
431,December,61.17674153645834
432,January,60.30931803385417
