oldMonth,oldNDVI,Month,NDVI
January,0.5116113497887129,November,0.4299027760823567
February,0.4955752346839434,December,0.49066081294306996
March,0.47923154477719904,January,0.5116113497887129
April,0.4486425196909384,February,0.4955752346839434
May,0.43671113201695627,March,0.47923154477719904
June,0.4247613138849126,April,0.4486425196909384
July,0.3539050447295534,May,0.43671113201695627
August,0.358565436469184,June,0.4247613138849126
September,0.38497388464772797,July,0.3539050447295534
October,0.39701707410676523,August,0.358565436469184
November,0.4299027760823567,September,0.38497388464772797
December,0.49066081294306996,October,0.39701707410676523
