oldMonth,RF_in,Month,RF
January,3.1354247151511494,May,1.7279114792621932
February,2.4287857553182195,June,0.9334003200920828
March,2.9915598995897903,July,1.5168764335438252
April,2.5758499593536133,August,1.8311932798901795
May,1.7279114792621932,September,1.1783854239432718
June,0.9334003200920828,October,1.439585723748493
July,1.5168764335438252,November,2.2048803673871595
August,1.8311932798901795,December,2.3302467729458596
September,1.1783854239432718,January,3.1354247151511494
October,1.439585723748493,February,2.4287857553182195
November,2.2048803673871595,March,2.9915598995897903
December,2.3302467729458596,April,2.5758499593536133
