,oldMonth,OldTemp,Month,Temp
0,January,59.75974724479431,April,60.653671607907796
1,February,59.127170812771766,May,62.2494462955822
2,March,59.65087783845436,June,63.48931479857444
3,April,60.653671607907796,July,64.79827054147717
4,May,62.2494462955822,August,65.23897204220764
5,June,63.48931479857444,September,64.70395728139512
6,July,64.79827054147717,October,64.26291595661664
7,August,65.23897204220764,November,62.6479917519903
8,September,64.70395728139512,December,60.68569323702894
9,October,64.26291595661664,January,59.75974724479431
10,November,62.6479917519903,February,59.127170812771766
11,December,60.68569323702894,March,59.65087783845436
