oldMonth,oldNDVI,Month,NDVI
January,0.44347285565034844,October,0.2662804342199254
February,0.4955918907824858,November,0.3359897886676553
March,0.45103547272858796,December,0.4150174830872336
April,0.378776152249415,January,0.44347285565034844
May,0.32247515304362556,February,0.4955918907824858
June,0.27208273499100294,March,0.45103547272858796
July,0.2506989404799705,April,0.378776152249415
August,0.2364942930136424,May,0.32247515304362556
September,0.2562264997621773,June,0.27208273499100294
October,0.2662804342199254,July,0.2506989404799705
November,0.3359897886676553,August,0.2364942930136424
December,0.4150174830872336,September,0.2562264997621773
