oldMonth,oldNDVI,Month,NDVI
January,0.5036915531864872,November,0.4939968608338156
February,0.512838062239282,December,0.5401579717942225
March,0.48079600675606426,January,0.5036915531864872
April,0.49272058220670434,February,0.512838062239282
May,0.44677825848035096,March,0.48079600675606426
June,0.4491384212787335,April,0.49272058220670434
July,0.4607337632863044,May,0.44677825848035096
August,0.4195460467143842,June,0.4491384212787335
September,0.4385608888646023,July,0.4607337632863044
October,0.4722615275514318,August,0.4195460467143842
November,0.4939968608338156,September,0.4385608888646023
December,0.5401579717942225,October,0.4722615275514318
