,oldMonth,OldTemp,Month,Temp
0,January,61.368503522335885,May,63.774927524090145
1,February,60.71517636711561,June,65.44957467867837
2,March,61.015630974337824,July,66.58959627797192
3,April,62.14741038300315,August,67.17327408824052
4,May,63.774927524090145,September,66.42078745611154
5,June,65.44957467867837,October,65.92518645427599
6,July,66.58959627797192,November,64.33773153225361
7,August,67.17327408824052,December,62.48608340407446
8,September,66.42078745611154,January,61.368503522335885
9,October,65.92518645427599,February,60.71517636711561
10,November,64.33773153225361,March,61.015630974337824
11,December,62.48608340407446,April,62.14741038300315
