Year,Month,Temp
2023.0,September,65.3781005859375
2023.0,October,66.55712076822917
2023.0,November,64.74187011718749
2023.0,December,62.92958713107639
2024.0,January,62.66555718315972
2024.0,February,58.90951605902778
2024.0,March,61.03438313802084
2024.0,April,62.21104600694444
2024.0,May,64.46962348090278
2024.0,June,66.28975423177084
2024.0,July,66.87140570746527
2024.0,August,68.23985188802084
