oldMonth,RF_in,Month,RF
January,5.17721570605143,May,1.6285427323577333
February,3.24157268132386,June,0.93437475781639
March,3.458118304581837,July,0.9959334582136021
April,2.306928345961673,August,1.4825305763347525
May,1.6285427323577333,September,1.7997127720268598
June,0.93437475781639,October,2.4263270959693712
July,0.9959334582136021,November,2.4643398412889406
August,1.4825305763347525,December,4.236757803823768
September,1.7997127720268598,January,5.17721570605143
October,2.4263270959693712,February,3.24157268132386
November,2.4643398412889406,March,3.458118304581837
December,4.236757803823768,April,2.306928345961673
