oldMonth,RF_in,Month,RF
January,4.532672325849988,May,1.8660726629995104
February,2.821076390288189,June,1.1335508731094714
March,3.0134872441777403,July,1.5518099030293362
April,2.481486968001988,August,1.4958424419067085
May,1.8660726629995104,September,2.1649972458654125
June,1.1335508731094714,October,2.376092176294767
July,1.5518099030293362,November,2.1521114486914064
August,1.4958424419067085,December,3.5476384860940917
September,2.1649972458654125,January,4.532672325849988
October,2.376092176294767,February,2.821076390288189
November,2.1521114486914064,March,3.0134872441777403
December,3.5476384860940917,April,2.481486968001988
