Year,Month,tmax_f,datetime
1999.0,9.0,77.92618815104167,1999-09-01
1999.0,10.0,77.3522922092014,1999-10-01
1999.0,11.0,75.07542317708334,1999-11-01
1999.0,12.0,73.10335828993055,1999-12-01
2000.0,1.0,71.36251085069445,2000-01-01
2000.0,2.0,74.51972384982639,2000-02-01
2000.0,3.0,74.40976019965278,2000-03-01
2000.0,4.0,73.40264485677083,2000-04-01
2000.0,5.0,76.41927354600693,2000-05-01
2000.0,6.0,77.93932834201388,2000-06-01
2000.0,7.0,78.50538194444445,2000-07-01
2000.0,8.0,79.32706705729166,2000-08-01
2000.0,9.0,78.4198459201389,2000-09-01
2000.0,10.0,78.12118598090278,2000-10-01
2000.0,11.0,75.52432725694445,2000-11-01
2000.0,12.0,75.4236599392361,2000-12-01
2001.0,1.0,75.20873209635417,2001-01-01
2001.0,2.0,73.19124077690972,2001-02-01
2001.0,3.0,73.56321072048611,2001-03-01
2001.0,4.0,73.92271864149305,2001-04-01
2001.0,5.0,75.10057237413196,2001-05-01
2001.0,6.0,76.76376410590278,2001-06-01
2001.0,7.0,78.69096137152778,2001-07-01
2001.0,8.0,79.55774197048612,2001-08-01
2001.0,9.0,79.210693359375,2001-09-01
2001.0,10.0,77.82697482638889,2001-10-01
2001.0,11.0,77.11925455729167,2001-11-01
2001.0,12.0,73.98197157118057,2001-12-01
2002.0,1.0,73.1923095703125,2002-01-01
2002.0,2.0,72.25165201822917,2002-02-01
2002.0,3.0,73.347265625,2002-03-01
2002.0,4.0,75.2133029513889,2002-04-01
2002.0,5.0,76.26932779947917,2002-05-01
2002.0,6.0,77.80099826388889,2002-06-01
2002.0,7.0,78.40792100694443,2002-07-01
2002.0,8.0,79.36651475694444,2002-08-01
2002.0,9.0,78.87585720486112,2002-09-01
2002.0,10.0,78.30245225694443,2002-10-01
2002.0,11.0,76.78470323350695,2002-11-01
2002.0,12.0,75.26510416666667,2002-12-01
2003.0,1.0,73.45363226996528,2003-01-01
2003.0,2.0,72.77746853298612,2003-02-01
2003.0,3.0,75.09038899739583,2003-03-01
2003.0,4.0,74.77897949218749,2003-04-01
2003.0,5.0,77.54745008680555,2003-05-01
2003.0,6.0,77.71142578125,2003-06-01
2003.0,7.0,78.70523546006945,2003-07-01
2003.0,8.0,79.45673285590277,2003-08-01
2003.0,9.0,79.87649197048611,2003-09-01
2003.0,10.0,79.37018229166667,2003-10-01
2003.0,11.0,76.17001681857639,2003-11-01
2003.0,12.0,74.2916259765625,2003-12-01
2004.0,1.0,73.4399658203125,2004-01-01
2004.0,2.0,74.91192220052083,2004-02-01
2004.0,3.0,72.23059624565973,2004-03-01
2004.0,4.0,74.85267469618056,2004-04-01
2004.0,5.0,76.8737060546875,2004-05-01
2004.0,6.0,78.21609700520833,2004-06-01
2004.0,7.0,79.3875,2004-07-01
2004.0,8.0,80.63548719618055,2004-08-01
2004.0,9.0,80.41827799479167,2004-09-01
2004.0,10.0,78.89552951388889,2004-10-01
2004.0,11.0,77.38761664496528,2004-11-01
2004.0,12.0,75.19996202256945,2004-12-01
2005.0,1.0,74.03796115451388,2005-01-01
2005.0,2.0,73.56076117621528,2005-02-01
2005.0,3.0,73.50779351128472,2005-03-01
2005.0,4.0,75.07134602864583,2005-04-01
2005.0,5.0,77.59389105902778,2005-05-01
2005.0,6.0,78.02349175347223,2005-06-01
2005.0,7.0,78.85269097222223,2005-07-01
2005.0,8.0,80.13661024305556,2005-08-01
2005.0,9.0,79.77745768229167,2005-09-01
2005.0,10.0,78.01391059027779,2005-10-01
2005.0,11.0,76.31065266927084,2005-11-01
2005.0,12.0,75.80683593750001,2005-12-01
2006.0,1.0,74.28319769965279,2006-01-01
2006.0,2.0,72.18703070746528,2006-02-01
2006.0,3.0,73.59647081163195,2006-03-01
2006.0,4.0,73.25517578124999,2006-04-01
2006.0,5.0,74.0651611328125,2006-05-01
2006.0,6.0,77.55498046875,2006-06-01
2006.0,7.0,78.88046332465277,2006-07-01
2006.0,8.0,79.76144748263889,2006-08-01
2006.0,9.0,79.22043728298611,2006-09-01
2006.0,10.0,78.53072374131945,2006-10-01
2006.0,11.0,77.22650282118056,2006-11-01
