,oldMonth,tmean_f,Month,Temp
0,January,66.94453557561468,February,66.51102686752508
1,February,66.51102686752508,March,66.99936515902294
2,March,66.99936515902294,April,68.25553099078897
3,April,68.25553099078897,May,69.61842689043209
4,May,69.61842689043209,June,71.30954303505979
5,June,71.30954303505979,July,72.50081869996625
6,July,72.50081869996625,August,73.15808489764179
7,August,73.15808489764179,September,72.86091692889178
8,September,72.86091692889178,October,72.09057956271701
9,October,72.09057956271701,November,70.285238760489
10,November,70.285238760489,December,68.24784327377508
11,December,68.24784327377508,January,66.94453557561468
