oldMonth,oldNDVI,Month,NDVI
January,0.5542783157913773,November,0.5202752139244551
February,0.5549137548752773,December,0.5628582462263696
March,0.5063447410677686,January,0.5542783157913773
April,0.480473502069457,February,0.5549137548752773
May,0.4501520910380799,March,0.5063447410677686
June,0.4020436233491526,April,0.480473502069457
July,0.3682633859139901,May,0.4501520910380799
August,0.37226323547073464,June,0.4020436233491526
September,0.4059251575162041,July,0.3682633859139901
October,0.45636487709038165,August,0.37226323547073464
November,0.5202752139244551,September,0.4059251575162041
December,0.5628582462263696,October,0.45636487709038165
