,Unnamed: 0.1,Year,Month,NDVI,datetime
0,0.0,2000.0,2.0,0.6420604938271606,2000-02-01
1,1.0,2000.0,3.0,0.4599364197530864,2000-03-01
2,2.0,2000.0,4.0,0.5598845679012346,2000-04-01
3,3.0,2000.0,5.0,0.4009851851851852,2000-05-01
4,4.0,2000.0,6.0,0.4160623456790123,2000-06-01
5,5.0,2000.0,7.0,0.5036222222222222,2000-07-01
6,6.0,2000.0,8.0,0.5249061728395062,2000-08-01
7,7.0,2000.0,9.0,0.5611370370370371,2000-09-01
8,8.0,2000.0,10.0,0.4897839506172839,2000-10-01
9,9.0,2000.0,11.0,0.8258691358024692,2000-11-01
10,10.0,2000.0,12.0,0.768346913580247,2000-12-01
11,11.0,2001.0,1.0,,2001-01-01
12,12.0,2001.0,2.0,0.4269197530864198,2001-02-01
13,13.0,2001.0,3.0,,2001-03-01
14,14.0,2001.0,4.0,,2001-04-01
15,15.0,2001.0,5.0,0.5118530864197532,2001-05-01
16,16.0,2001.0,6.0,,2001-06-01
17,17.0,2001.0,7.0,0.3065827160493827,2001-07-01
18,18.0,2001.0,8.0,0.2962438271604938,2001-08-01
19,19.0,2001.0,9.0,0.3335802469135802,2001-09-01
20,20.0,2001.0,10.0,0.4622765432098765,2001-10-01
21,21.0,2001.0,11.0,0.682012962962963,2001-11-01
22,22.0,2001.0,12.0,,2001-12-01
23,23.0,2002.0,1.0,,2002-01-01
24,24.0,2002.0,2.0,,2002-02-01
25,25.0,2002.0,3.0,0.8263777777777778,2002-03-01
26,26.0,2002.0,4.0,0.8450092592592593,2002-04-01
27,27.0,2002.0,5.0,0.8023944444444444,2002-05-01
28,28.0,2002.0,6.0,0.8768981481481481,2002-06-01
29,29.0,2002.0,7.0,0.8354956790123457,2002-07-01
30,30.0,2002.0,8.0,0.7657370370370371,2002-08-01
31,31.0,2002.0,9.0,0.7037913580246915,2002-09-01
32,32.0,2002.0,10.0,0.7523629629629631,2002-10-01
33,33.0,2002.0,11.0,0.559254938271605,2002-11-01
34,34.0,2002.0,12.0,0.6484271604938272,2002-12-01
35,35.0,2003.0,1.0,0.6010067901234568,2003-01-01
36,36.0,2003.0,2.0,0.6997006172839506,2003-02-01
37,37.0,2003.0,3.0,0.5479462962962963,2003-03-01
38,38.0,2003.0,4.0,0.7672703703703704,2003-04-01
39,39.0,2003.0,5.0,0.5830913580246914,2003-05-01
40,40.0,2003.0,6.0,0.6132506172839507,2003-06-01
41,41.0,2003.0,7.0,0.5547722222222222,2003-07-01
42,42.0,2003.0,8.0,0.3971796296296296,2003-08-01
43,43.0,2003.0,9.0,0.5037925925925926,2003-09-01
44,44.0,2003.0,10.0,0.3904296296296297,2003-10-01
45,45.0,2003.0,11.0,0.5432882716049382,2003-11-01
46,46.0,2003.0,12.0,0.5937524691358025,2003-12-01
47,47.0,2004.0,1.0,0.8424993827160494,2004-01-01
48,48.0,2004.0,2.0,0.8464512345679014,2004-02-01
49,49.0,2004.0,3.0,0.8611240740740742,2004-03-01
50,50.0,2004.0,4.0,0.8146833333333335,2004-04-01
51,51.0,2004.0,5.0,0.8343222222222221,2004-05-01
52,52.0,2004.0,6.0,0.7259425925925926,2004-06-01
53,53.0,2004.0,7.0,0.5948265432098767,2004-07-01
54,54.0,2004.0,8.0,0.6259179012345679,2004-08-01
55,55.0,2004.0,9.0,0.4678654320987654,2004-09-01
56,56.0,2004.0,10.0,0.6655296296296296,2004-10-01
57,57.0,2004.0,11.0,0.8812222222222221,2004-11-01
58,58.0,2004.0,12.0,0.865977777777778,2004-12-01
59,59.0,2005.0,1.0,0.8685500000000003,2005-01-01
60,60.0,2005.0,2.0,0.8519975308641975,2005-02-01
61,61.0,2005.0,3.0,0.7361833333333333,2005-03-01
62,62.0,2005.0,4.0,0.5637901234567901,2005-04-01
63,63.0,2005.0,5.0,0.4067691358024691,2005-05-01
64,64.0,2005.0,6.0,0.4607969135802468,2005-06-01
65,65.0,2005.0,7.0,0.4070641975308643,2005-07-01
66,66.0,2005.0,8.0,0.397229012345679,2005-08-01
67,67.0,2005.0,9.0,0.5142765432098766,2005-09-01
68,68.0,2005.0,10.0,0.7721469135802469,2005-10-01
69,69.0,2005.0,11.0,0.6595043209876543,2005-11-01
70,70.0,2005.0,12.0,0.6958037037037038,2005-12-01
71,71.0,2006.0,1.0,0.5717993827160494,2006-01-01
