,oldMonth,OldTemp,Month,Temp
0,January,68.83041714066866,April,70.27344914676598
1,February,68.55586601146807,May,71.6206618462625
2,March,69.21394663902093,June,72.72290501709601
3,April,70.27344914676598,July,73.68898290003146
4,May,71.6206618462625,August,74.31621328985541
5,June,72.72290501709601,September,74.13852641008084
6,July,73.68898290003146,October,73.49665234497974
7,August,74.31621328985541,November,71.90571449976146
8,September,74.13852641008084,December,69.98636163978168
9,October,73.49665234497974,January,68.83041714066866
10,November,71.90571449976146,February,68.55586601146807
11,December,69.98636163978168,March,69.21394663902093
