oldMonth,RF_in,Month,RF
January,5.175004581769187,May,1.8236858550443766
February,3.103033469950533,June,1.5057365473608284
March,3.638886267398516,July,2.001148080590803
April,2.2748595181259663,August,2.834872922846945
May,1.8236858550443766,September,2.514965925017251
June,1.5057365473608284,October,2.6634206269677376
July,2.001148080590803,November,3.758957682542878
August,2.834872922846945,December,3.7413930947431417
September,2.514965925017251,January,5.175004581769187
October,2.6634206269677376,February,3.103033469950533
November,3.758957682542878,March,3.638886267398516
December,3.7413930947431417,April,2.2748595181259663
