oldMonth,RF_in,Month,RF
January,3.1707357271137866,May,5.22769823986033
February,2.1902092249894,June,4.591171906752866
March,3.190006889389376,July,5.3280028195308935
April,4.377819949215865,August,5.533680292746968
May,5.22769823986033,September,5.804321864697939
June,4.591171906752866,October,4.435244431639948
July,5.3280028195308935,November,2.8134486100791096
August,5.533680292746968,December,2.5136906543505564
September,5.804321864697939,January,3.1707357271137866
October,4.435244431639948,February,2.1902092249894
November,2.8134486100791096,March,3.190006889389376
December,2.5136906543505564,April,4.377819949215865
