Unnamed: 0,Year,Month,ET,datetime
262,2022.0,November,2.9391666666666665,2022-11-01
263,2022.0,December,2.620885416666667,2022-12-01
264,2023.0,January,3.0379166666666677,2023-01-01
265,2023.0,February,2.6664062500000005,2023-02-01
266,2023.0,March,3.448125,2023-03-01
267,2023.0,April,3.8425,2023-04-01
268,2023.0,May,3.79046875,2023-05-01
269,2023.0,June,4.081875000000001,2023-06-01
270,2023.0,July,4.3209375,2023-07-01
271,2023.0,August,4.144531250000001,2023-08-01
272,2023.0,September,3.801875,2023-09-01
273,2023.0,October,3.4243750000000004,2023-10-01
