,oldMonth,OldTemp,Month,Temp
0,January,69.25352372588827,April,70.72216987279961
1,February,68.9956731600811,May,72.05784176571989
2,March,69.66002204463592,June,73.15353996985938
3,April,70.72216987279961,July,74.10377343134809
4,May,72.05784176571989,August,74.73962703524208
5,June,73.15353996985938,September,74.5786074289291
6,July,74.10377343134809,October,73.9273656375607
7,August,74.73962703524208,November,72.33754686953671
8,September,74.5786074289291,December,70.42019645638257
9,October,73.9273656375607,January,69.25352372588827
10,November,72.33754686953671,February,68.9956731600811
11,December,70.42019645638257,March,69.66002204463592
