oldMonth,oldNDVI,Month,NDVI
January,0.637631376290027,November,0.6573444451226129
February,0.5739365000783662,December,0.6480695220570506
March,0.5136170064667125,January,0.637631376290027
April,0.41816048291560476,February,0.5739365000783662
May,0.4212074406579462,March,0.5136170064667125
June,0.4569720805313965,April,0.41816048291560476
July,0.5065799968534725,May,0.4212074406579462
August,0.5655451300929868,June,0.4569720805313965
September,0.5962076594686916,July,0.5065799968534725
October,0.6467770687874906,August,0.5655451300929868
November,0.6573444451226129,September,0.5962076594686916
December,0.6480695220570506,October,0.6467770687874906
