oldMonth,RF_in,Month,RF
January,13.389247718996844,May,9.868466142365639
February,12.035715322025714,June,8.309167082897435
March,15.82241460301809,July,10.875144370532407
April,13.542195548301496,August,11.95990632579491
May,9.868466142365639,September,10.694126405304553
June,8.309167082897435,October,12.114808492542052
July,10.875144370532407,November,16.083713389747274
August,11.95990632579491,December,15.041351885654707
September,10.694126405304553,January,13.389247718996844
October,12.114808492542052,February,12.035715322025714
November,16.083713389747274,March,15.82241460301809
December,15.041351885654707,April,13.542195548301496
