,oldMonth,OldTemp,Month,Temp
0,January,69.31729233684803,April,70.78979880917221
1,February,69.06195802678569,May,72.12381596820376
2,March,69.67638741697517,June,73.21847974836805
3,April,70.78979880917221,July,74.1665876367886
4,May,72.12381596820376,August,74.80344172431805
5,June,73.21847974836805,September,74.64493440050296
6,July,74.1665876367886,October,73.99228027237832
7,August,74.80344172431805,November,72.40263025273359
8,September,74.64493440050296,December,70.48558243675497
9,October,73.99228027237832,January,69.31729233684803
10,November,72.40263025273359,February,69.06195802678569
11,December,70.48558243675497,March,69.67638741697517
