oldMonth,oldNDVI,Month,NDVI
January,0.6177215538495853,November,0.5541070226975429
February,0.5543793977337119,December,0.5409918184633608
March,0.5263695262390891,January,0.6177215538495853
April,0.5009492202135685,February,0.5543793977337119
May,0.5014196841465443,March,0.5263695262390891
June,0.5084211344053263,April,0.5009492202135685
July,0.4724205701779096,May,0.5014196841465443
August,0.516614182156149,June,0.5084211344053263
September,0.5445891848543317,July,0.4724205701779096
October,0.49243026535961587,August,0.516614182156149
November,0.5541070226975429,September,0.5445891848543317
December,0.5409918184633608,October,0.49243026535961587
