,oldMonth,OldTemp,Month,Temp
0,January,65.18136917189798,May,67.85070634918351
1,February,64.76278751606866,June,69.00830151937672
2,March,65.3668111091951,July,70.11236367158727
3,April,66.40349996377023,August,70.66452206453744
4,May,67.85070634918351,September,70.34308557737003
5,June,69.00830151937672,October,69.78200417395982
6,July,70.11236367158727,November,68.18141713006725
7,August,70.66452206453744,December,66.24478706373581
8,September,70.34308557737003,January,65.18136917189798
9,October,69.78200417395982,February,64.76278751606866
10,November,68.18141713006725,March,65.3668111091951
11,December,66.24478706373581,April,66.40349996377023
