oldMonth,RF_in,Month,RF
January,5.711833674915813,May,2.929188527513961
February,4.234971842841174,June,2.347672302582721
March,5.700162233456956,July,2.8146394523256038
April,4.687675417109261,August,2.764269172332908
May,2.929188527513961,September,1.9149548723466372
June,2.347672302582721,October,2.517634865951697
July,2.8146394523256038,November,4.080179607557649
August,2.764269172332908,December,5.1392087886007385
September,1.9149548723466372,January,5.711833674915813
October,2.517634865951697,February,4.234971842841174
November,4.080179607557649,March,5.700162233456956
December,5.1392087886007385,April,4.687675417109261
