,Year,Month,Temp
391,2022.0,August,73.85873480902778
392,2022.0,September,74.32307128906251
393,2022.0,October,74.07086046006944
394,2022.0,November,72.01314561631943
395,2022.0,December,70.27561306423611
396,2023.0,January,69.10469835069443
397,2023.0,February,68.43427463107639
398,2023.0,March,69.977197265625
399,2023.0,April,70.01358506944445
400,2023.0,May,77.52320421006945
401,2023.0,June,78.75080295138889
402,2023.0,July,73.28661295572917
