oldMonth,RF_in,Month,RF
January,6.7030266530219995,May,3.0940558311794764
February,4.918611647058282,June,2.1381572175117465
March,5.75181774611571,July,2.564955214839648
April,4.039741067980992,August,3.873543129002339
May,3.0940558311794764,September,3.914876412575784
June,2.1381572175117465,October,4.471098736332843
July,2.564955214839648,November,6.0497588622396234
August,3.873543129002339,December,5.579689666346098
September,3.914876412575784,January,6.7030266530219995
October,4.471098736332843,February,4.918611647058282
November,6.0497588622396234,March,5.75181774611571
December,5.579689666346098,April,4.039741067980992
