oldMonth,RF_in,Month,RF
January,6.710693926525426,May,4.929187334374616
February,6.01521469982643,June,3.0378915943781397
March,7.59555588037283,July,4.049745675128027
April,5.546315749090118,August,4.016370936881619
May,4.929187334374616,September,4.099405808837119
June,3.0378915943781397,October,5.798296196433512
July,4.049745675128027,November,6.731439649286155
August,4.016370936881619,December,7.273347736023087
September,4.099405808837119,January,6.710693926525426
October,5.798296196433512,February,6.01521469982643
November,6.731439649286155,March,7.59555588037283
December,7.273347736023087,April,5.546315749090118
