,oldMonth,oldET,Month,ET
0,January,3.218321107545723,June,4.583536128150755
1,February,3.364190688890051,July,4.610474572977902
2,March,3.478880474630936,August,4.146440623136784
3,April,3.9997815229742035,September,4.156224511725454
4,May,4.564762580025654,October,3.275583981394519
5,June,4.583536128150755,November,2.8680474549500703
6,July,4.610474572977902,December,2.567281626847917
7,August,4.146440623136784,January,3.218321107545723
8,September,4.156224511725454,February,3.364190688890051
9,October,3.275583981394519,March,3.478880474630936
10,November,2.8680474549500703,April,3.9997815229742035
11,December,2.567281626847917,May,4.564762580025654
