oldMonth,oldNDVI,Month,NDVI
January,0.3714495896410059,November,0.1639244650617058
February,0.22985319005118474,December,0.21691317925850548
March,0.24894592882674413,January,0.3714495896410059
April,0.1741592932177631,February,0.22985319005118474
May,0.20872678161233463,March,0.24894592882674413
June,0.1745816363058878,April,0.1741592932177631
July,0.1353897219709521,May,0.20872678161233463
August,0.22122568220381267,June,0.1745816363058878
September,0.19760594657796512,July,0.1353897219709521
October,0.19877565648594242,August,0.22122568220381267
November,0.1639244650617058,September,0.19760594657796512
December,0.21691317925850548,October,0.19877565648594242
