oldMonth,RF_in,Month,RF
January,3.5275784393401293,May,1.3698551734058078
February,2.2671271161739828,June,0.7280439717862448
March,2.4336762032846093,July,0.8016206266915846
April,1.5467804967997252,August,0.7165019353451191
May,1.3698551734058078,September,1.4323684279939237
June,0.7280439717862448,October,1.71886793893598
July,0.8016206266915846,November,2.2417158599750917
August,0.7165019353451191,December,3.1727721881088597
September,1.4323684279939237,January,3.5275784393401293
October,1.71886793893598,February,2.2671271161739828
November,2.2417158599750917,March,2.4336762032846093
December,3.1727721881088597,April,1.5467804967997252
