oldMonth,oldNDVI,Month,NDVI
January,0.4805747618498626,November,0.4209506800145279
February,0.5251420941764926,December,0.4739038980743031
March,0.47080805554802035,January,0.4805747618498626
April,0.4165560458800052,February,0.5251420941764926
May,0.38304013698755396,March,0.47080805554802035
June,0.3517803199384061,April,0.4165560458800052
July,0.31364057818029684,May,0.38304013698755396
August,0.2959052699017502,June,0.3517803199384061
September,0.3245462605982651,July,0.31364057818029684
October,0.36699364690246294,August,0.2959052699017502
November,0.4209506800145279,September,0.3245462605982651
December,0.4739038980743031,October,0.36699364690246294
