,oldMonth,oldET,Month,ET
0,January,2.0196223234953705,June,2.299963768115942
1,February,2.2353681278935187,July,2.2946677989130437
2,March,2.4820711805555558,August,1.872667736557446
3,April,2.3701280381944447,September,1.7408779036482842
4,May,2.392625578703704,October,1.8859371008048347
5,June,2.299963768115942,November,1.8535860507246378
6,July,2.2946677989130437,December,1.6093695652173914
7,August,1.872667736557446,January,2.0196223234953705
8,September,1.7408779036482842,February,2.2353681278935187
9,October,1.8859371008048347,March,2.4820711805555558
10,November,1.8535860507246378,April,2.3701280381944447
11,December,1.6093695652173914,May,2.392625578703704
