oldMonth,RF_in,Month,RF
January,3.339630633396737,May,0.8545199050627096
February,2.1003965060135052,June,0.6633660269864928
March,3.065306340090674,July,1.1037196310252262
April,1.4238778173657376,August,1.0850395929626504
May,0.8545199050627096,September,0.9642342742846572
June,0.6633660269864928,October,1.2462662237264337
July,1.1037196310252262,November,2.5138109389335526
August,1.0850395929626504,December,2.653366914655289
September,0.9642342742846572,January,3.339630633396737
October,1.2462662237264337,February,2.1003965060135052
November,2.5138109389335526,March,3.065306340090674
December,2.653366914655289,April,1.4238778173657376
