oldMonth,oldNDVI,Month,NDVI
January,0.4771515519651648,November,0.4350833234395066
February,0.45184910604398537,December,0.5044139642584813
March,0.4220241536179634,January,0.4771515519651648
April,0.3530080285790848,February,0.45184910604398537
May,0.3308392063458425,March,0.4220241536179634
June,0.2821655665358452,April,0.3530080285790848
July,0.2812849151321909,May,0.3308392063458425
August,0.29828205400070973,June,0.2821655665358452
September,0.33398137479486656,July,0.2812849151321909
October,0.358368682660343,August,0.29828205400070973
November,0.4350833234395066,September,0.33398137479486656
December,0.5044139642584813,October,0.358368682660343
