oldMonth,RF_in,Month,RF
January,3.875312691618761,July,2.8650026139220306
February,3.3471074265557603,August,2.8970685132615626
March,4.06749605074907,September,1.702967911187932
April,4.129159280173611,October,2.5464784857870595
May,2.3925908758511327,November,4.054796820079746
June,1.8857923114428405,December,3.5357523640662905
July,2.8650026139220306,January,3.875312691618761
August,2.8970685132615626,February,3.3471074265557603
September,1.702967911187932,March,4.06749605074907
October,2.5464784857870595,April,4.129159280173611
November,4.054796820079746,May,2.3925908758511327
December,3.5357523640662905,June,1.8857923114428405
