,oldMonth,OldTemp,Month,Temp
0,January,70.82887310519148,March,71.29296276427931
1,February,70.66117950605216,April,72.48033431463091
2,March,71.29296276427931,May,73.77687024270286
3,April,72.48033431463091,June,74.8357986130423
4,May,73.77687024270286,July,75.6941660709142
5,June,74.8357986130423,August,76.37881687469408
6,July,75.6941660709142,September,76.30019380298162
7,August,76.37881687469408,October,75.61366093641338
8,September,76.30019380298162,November,74.03889208332615
9,October,75.61366093641338,December,72.14961750317275
10,November,74.03889208332615,January,70.82887310519148
11,December,72.14961750317275,February,70.66117950605216
